,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,id
0,432hz,0.4947799999999999,0.2993333333333333,1048887.3333333333,0.4506783333333332,0.4777616666666666,0.131,-16.854,0.0768166666666666,120.28566666666666,0.22175,52.16666666666667,5,1,0
1,[],0.6792447448574842,0.5214733053399061,229852.6102234212,0.4015221428872992,0.1967373135393448,0.221586214876922,-12.679075647739117,0.1122670762592013,112.02516779563427,0.5159200459415466,21.68200469637955,7,1,1
2,a cappella,0.6215317193348844,0.5770169060398996,193652.2047089967,0.3456940864430481,0.0037989220040791,0.1270868177099553,-12.770211025518895,0.0953242736365801,111.81323023766345,0.4531856348581163,43.35181880911817,11,1,2
3,abstract,0.359395,0.4595000000000001,343018.5,0.487,0.7914000000000001,0.1194799999999999,-14.092000000000002,0.0434199999999999,124.74319999999996,0.30499,41.5,1,1,3
4,abstract beats,0.3533466666666666,0.6944000000000001,233824.4,0.6134,0.349402612,0.1024533333333333,-6.699799999999999,0.1434533333333333,119.3984,0.6341866666666667,58.6,10,0,4
5,abstract hip hop,0.2058719883040936,0.7231315789473683,249095.1032163743,0.6454608187134503,0.0028526718187134,0.1680317543859649,-7.216007017543859,0.2501043859649123,112.1602865497076,0.584391812865497,43.80497076023392,11,1,5
6,accordeon,0.8013333333333333,0.6263333333333333,162613.33333333334,0.309,0.616,0.2526666666666666,-10.736666666666666,0.0357333333333333,114.522,0.5436666666666666,28.666666666666668,2,1,6
7,accordion,0.4862083333333333,0.6408333333333333,166508.20833333334,0.364,0.1113172625,0.186975,-14.436541666666663,0.082775,112.72216666666668,0.6439166666666667,15.208333333333334,2,1,7
8,acid house,0.0570023333333333,0.6842277777777779,293609.31111111114,0.721418888888889,0.3202193561111111,0.2323811111111112,-10.378311111111111,0.0585094444444444,123.17593333333332,0.6222055555555557,44.56666666666667,11,1,8
9,acid jazz,0.155414,0.7142000000000001,284362.36666666664,0.6946666666666668,0.1906131333333333,0.1068,-10.234666666666666,0.05202,112.2434,0.7893666666666667,44.03333333333333,6,1,9
10,acid rock,0.258026864678222,0.4535411413761246,252930.71735146004,0.5920554368071769,0.1595598890343916,0.2358537652184705,-11.12468442093375,0.0722923528189474,125.46593731792912,0.5359745318824704,34.50001162280338,9,1,10
11,acid trance,0.0035355,0.5569999999999999,216060.0,0.925,0.7765,0.152,-7.128,0.04235,134.8435,0.6395,56.5,2,1,11
12,acousmatic,0.91579375,0.4142589166666667,180883.1914583333,0.2505703666666667,0.5970336702,0.2569920416666666,-21.015509791666663,0.0847941458333333,105.54813437500002,0.3097352083333333,8.081875,0,1,12
13,acoustic blues,0.7561610668806609,0.6009316936067768,204589.7752516997,0.3585906869237169,0.0929115316865282,0.1861530064454412,-12.653953605421991,0.0665395530759378,114.10039731622796,0.6300176685059984,23.76447984160648,7,1,13
14,acoustic pop,0.4852497262328111,0.5278208104445249,234521.8894379293,0.4829903476508946,0.0471136934816255,0.1533605853471442,-9.214582532432132,0.0401219100210444,117.5559650721883,0.3846008504369806,52.86698245963172,11,1,14
15,acoustic punk,0.3744390285714286,0.5279671428571429,192338.42428571428,0.6144357142857144,0.0680665120285714,0.1802244285714286,-8.175711428571427,0.0679794285714285,120.96055428571432,0.7408571428571429,38.998571428571424,9,1,15
16,adoracion,0.3896666666666666,0.4969444444444444,296901.0833333333,0.5190833333333333,0.0,0.3102499999999999,-7.925083333333332,0.0374027777777777,132.7866111111111,0.3096944444444444,46.63888888888889,7,1,16
17,adult standards,0.6529038448722777,0.4987113816481658,195660.18552560743,0.3858138725337305,0.1223682182029275,0.1942906011055438,-12.210882146730189,0.0542119308017304,113.58747106724392,0.5049755874109653,30.308837416237576,0,1,17
